Num Few Shots	Num Examples Tested	Num Exact Matches	Exact MatchPerc	Num Subset Matches	Subset Match Perc	Avg Similarity Score	Med Similarity Score	Max Similarity Score	Min Similarity Score
100	1532	1464	0.9556135770234987	1464	0.9556135770234987	99.05653383460172	100.0	100.0	60.0
200	1532	1482	0.9673629242819843	1483	0.9680156657963447	99.45989352973687	100.0	100.0	66.66666666666666
300	1532	1475	0.9627937336814621	1476	0.9634464751958225	99.43074006063563	100.0	100.0	66.66666666666666
400	1532	1490	0.9725848563968669	1490	0.9725848563968669	99.53014565938848	100.0	100.0	66.66666666666666
500	1532	1497	0.9771540469973891	1497	0.9771540469973891	99.64620055024754	100.0	100.0	66.66666666666666
600	1532	1492	0.9738903394255874	1492	0.9738903394255874	99.60818572926928	100.0	100.0	60.0
700	1532	1485	0.9693211488250653	1485	0.9693211488250653	99.54615336795493	100.0	100.0	66.66666666666666
800	1532	1487	0.970626631853786	1487	0.970626631853786	99.60245132732078	100.0	100.0	66.66666666666666
900	1532	1496	0.9765013054830287	1496	0.9765013054830287	99.66370661540374	100.0	100.0	66.66666666666666
1000	1532	1488	0.9712793733681462	1488	0.9712793733681462	99.56507011990041	100.0	100.0	66.66666666666666
1100	1532	1496	0.9765013054830287	1496	0.9765013054830287	99.66096892663472	100.0	100.0	75.0
1200	1532	1496	0.9765013054830287	1497	0.9771540469973891	99.67216276615754	100.0	100.0	75.0
1300	1532	1492	0.9738903394255874	1492	0.9738903394255874	99.60515514366689	100.0	100.0	71.42857142857143
1400	1532	1489	0.9719321148825065	1489	0.9719321148825065	99.61494952682942	100.0	100.0	75.0
1500	1532	1491	0.9732375979112271	1491	0.9732375979112271	99.64487083122853	100.0	100.0	77.77777777777779
1600	1532	1488	0.9712793733681462	1488	0.9712793733681462	99.59775429096578	100.0	100.0	71.42857142857143
1700	1532	1485	0.9693211488250653	1485	0.9693211488250653	99.61703729980492	100.0	100.0	77.77777777777779
1800	1532	1493	0.9745430809399478	1493	0.9745430809399478	99.6710518593678	100.0	100.0	75.0
1900	1532	1493	0.9745430809399478	1493	0.9745430809399478	99.68416320407182	100.0	100.0	75.0
2000	1532	1489	0.9719321148825065	1489	0.9719321148825065	99.62690449961991	100.0	100.0	71.42857142857143
2100	1532	1495	0.9758485639686684	1495	0.9758485639686684	99.6701097712847	100.0	100.0	75.0
2200	1532	1490	0.9725848563968669	1490	0.9725848563968669	99.62692043958363	100.0	100.0	75.0
2300	1532	1482	0.9673629242819843	1482	0.9673629242819843	99.55733018069833	100.0	100.0	75.0
2400	1532	1491	0.9732375979112271	1491	0.9732375979112271	99.64790775658922	100.0	100.0	77.77777777777779
2500	1532	1491	0.9732375979112271	1491	0.9732375979112271	99.65038406618041	100.0	100.0	75.0
