Num Few Shots	Num Examples Tested	Num Exact Matches	Exact MatchPerc	Num Subset Matches	Subset Match Perc	Avg Similarity Score	Med Similarity Score	Max Similarity Score	Min Similarity Score
100	1544	1451	0.9397668393782384	1451	0.9397668393782384	98.15027244512348	100.0	100.0	20.0
200	1544	1502	0.9727979274611399	1502	0.9727979274611399	99.51103606382104	100.0	100.0	50.0
300	1544	1499	0.9708549222797928	1499	0.9708549222797928	99.46447847273625	100.0	100.0	50.0
400	1544	1518	0.9831606217616581	1518	0.9831606217616581	99.70544756409393	100.0	100.0	50.0
500	1544	1521	0.9851036269430051	1521	0.9851036269430051	99.77046090064225	100.0	100.0	50.0
600	1544	1518	0.9831606217616581	1518	0.9831606217616581	99.71428758345857	100.0	100.0	45.45454545454546
700	1544	1517	0.9825129533678757	1517	0.9825129533678757	99.72926433094827	100.0	100.0	66.66666666666666
800	1544	1519	0.9838082901554405	1519	0.9838082901554405	99.69654212367944	100.0	100.0	50.0
900	1544	1526	0.9883419689119171	1526	0.9883419689119171	99.78904515173946	100.0	100.0	50.0
1000	1544	1521	0.9851036269430051	1521	0.9851036269430051	99.71210882885106	100.0	100.0	50.0
1100	1544	1525	0.9876943005181347	1525	0.9876943005181347	99.78333482867161	100.0	100.0	50.0
1200	1544	1527	0.9889896373056994	1527	0.9889896373056994	99.79583024919812	100.0	100.0	50.0
1300	1544	1522	0.9857512953367875	1523	0.9863989637305699	99.7366020026318	100.0	100.0	50.0
1400	1544	1525	0.9876943005181347	1527	0.9889896373056994	99.76563142528168	100.0	100.0	50.0
1500	1544	1525	0.9876943005181347	1525	0.9876943005181347	99.77084875400938	100.0	100.0	50.0
1600	1544	1527	0.9889896373056994	1527	0.9889896373056994	99.79901718891357	100.0	100.0	50.0
1700	1544	1529	0.9902849740932642	1529	0.9902849740932642	99.82769497342036	100.0	100.0	50.0
1800	1544	1527	0.9889896373056994	1528	0.9896373056994818	99.81984795213423	100.0	100.0	50.0
1900	1544	1531	0.991580310880829	1531	0.991580310880829	99.86769059955589	100.0	100.0	50.0
2000	1544	1528	0.9896373056994818	1528	0.9896373056994818	99.79197508018751	100.0	100.0	50.0
2100	1544	1529	0.9902849740932642	1529	0.9902849740932642	99.81623694382762	100.0	100.0	60.0
2200	1544	1527	0.9889896373056994	1527	0.9889896373056994	99.78226005428078	100.0	100.0	50.0
2300	1544	1527	0.9889896373056994	1528	0.9896373056994818	99.80618780327329	100.0	100.0	50.0
2400	1544	1528	0.9896373056994818	1528	0.9896373056994818	99.81012007566412	100.0	100.0	50.0
2500	1544	1528	0.9896373056994818	1528	0.9896373056994818	99.80368077518337	100.0	100.0	45.45454545454546
