Num Few Shots	Num Examples Tested	Num Exact Matches	Exact MatchPerc	Num Subset Matches	Subset Match Perc	Avg Similarity Score	Med Similarity Score	Max Similarity Score	Min Similarity Score
100	2344	2205	0.9406996587030717	2218	0.9462457337883959	98.83401220271953	100.0	100.0	51.666666666666664
200	2344	2281	0.9731228668941979	2296	0.9795221843003413	99.41061948101198	100.0	100.0	43.333333333333336
300	2344	2292	0.9778156996587031	2299	0.98080204778157	99.51233138306517	100.0	100.0	43.333333333333336
400	2344	2297	0.9799488054607508	2302	0.9820819112627986	99.55020247575709	100.0	100.0	38.09523809523809
500	2344	2282	0.9735494880546075	2288	0.9761092150170648	99.51380424183326	100.0	100.0	60.0
600	2344	2293	0.9782423208191127	2297	0.9799488054607508	99.63702496072376	100.0	100.0	60.0
700	2344	2297	0.9799488054607508	2300	0.9812286689419796	99.67023200065009	100.0	100.0	60.0
800	2344	2313	0.9867747440273038	2315	0.9876279863481229	99.69417018798418	100.0	100.0	60.0
900	2344	2316	0.9880546075085325	2316	0.9880546075085325	99.7202245517092	100.0	100.0	60.0
1000	2344	2311	0.9859215017064846	2311	0.9859215017064846	99.71504415190422	100.0	100.0	60.0
1100	2344	2320	0.9897610921501706	2320	0.9897610921501706	99.76996316160138	100.0	100.0	60.0
1200	2344	2309	0.9850682593856656	2310	0.985494880546075	99.71941193997507	100.0	100.0	60.0
1300	2344	2316	0.9880546075085325	2318	0.9889078498293515	99.74741318597974	100.0	100.0	60.0
1400	2344	2314	0.9872013651877133	2315	0.9876279863481229	99.73200742185384	100.0	100.0	60.0
1500	2344	2317	0.988481228668942	2318	0.9889078498293515	99.7643425971071	100.0	100.0	60.0
1600	2344	2312	0.9863481228668942	2314	0.9872013651877133	99.72425375155751	100.0	100.0	50.0
1700	2344	2309	0.9850682593856656	2309	0.9850682593856656	99.67466750636545	100.0	100.0	50.0
1800	2344	2315	0.9876279863481229	2315	0.9876279863481229	99.74145403326291	100.0	100.0	50.0
1900	2344	2314	0.9872013651877133	2314	0.9872013651877133	99.75024039763801	100.0	100.0	50.0
2000	2344	2296	0.9795221843003413	2298	0.9803754266211604	99.18484885421745	100.0	100.0	16.666666666666664
2100	2344	2301	0.981655290102389	2302	0.9820819112627986	99.20902405330733	100.0	100.0	16.666666666666664
2200	2344	2301	0.981655290102389	2302	0.9820819112627986	99.23639891110028	100.0	100.0	16.666666666666664
2300	2344	2278	0.9718430034129693	2282	0.9735494880546075	98.62997047510699	100.0	100.0	16.666666666666664
